PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Bismack Biyombo,386.9,0.0,0.0,1.132,37.099999999999994,0.0,0.0,0.949,95.4,1.0,15.899999999999999,0.0,0.0,0.0,0.0,1.2,132.5,0.0,0.0,0.813,63.599999999999994,0.636,42.400000000000006
Blake Griffin,325.8,0.806,30.599999999999998,1.25,36.0,0.866,66.60000000000001,0.731,25.2,0.909,55.800000000000004,0.746,59.4,0.333,12.6,0.917,12.6,0.0,0.0,0.615,12.6,0.267,14.4
Boban Marjanovic,128.8,0.0,0.0,0.0,0.0,0.0,0.0,1.231,25.3,0.955,43.699999999999996,0.0,0.0,0.0,0.0,1.667,11.5,0.0,0.0,1.367,29.900000000000002,0.316,18.400000000000002
Bobby Portis,692.9999999999999,0.8,33.0,1.288,66.0,0.0,0.0,0.991,112.2,0.813,145.20000000000002,1.058,191.4,0.0,0.0,1.031,33.0,0.762,19.8,0.855,59.4,0.486,33.0
Bogdan Bogdanovic,757.9000000000001,1.0,47.7,1.173,106.0,0.894,190.8,0.0,0.0,0.545,10.600000000000001,1.056,196.10000000000002,0.947,74.19999999999999,1.423,26.5,0.904,74.19999999999999,0.0,0.0,0.5,31.799999999999997
Bojan Bogdanovic,1215.9000000000003,0.922,113.4,1.163,195.3,0.814,170.10000000000002,1.357,25.200000000000003,1.091,56.7,1.114,264.6,0.904,107.1,1.593,25.200000000000003,0.975,201.60000000000002,1.35,18.9,0.914,37.8
Brad Wanamaker,441.00000000000006,0.533,12.600000000000001,1.232,100.80000000000001,0.787,138.60000000000002,0.0,0.0,0.0,0.0,1.017,113.4,0.563,18.9,1.333,12.600000000000001,1.091,12.600000000000001,0.0,0.0,0.379,31.5
Bradley Beal,1670.1,0.897,153.9,1.155,290.7,0.972,541.5,0.0,0.0,0.889,17.099999999999998,1.06,165.29999999999998,1.018,165.29999999999998,1.328,62.7,0.918,193.79999999999998,1.0,28.5,0.808,51.300000000000004
Brandon Clarke,475.0,0.545,10.0,1.42,90.0,0.0,0.0,1.483,114.99999999999999,0.7,10.0,1.14,100.0,0.0,0.0,1.318,65.0,0.0,0.0,1.175,55.00000000000001,0.533,30.0
Brandon Goodwin,210.79999999999998,1.455,10.2,0.979,47.599999999999994,0.97,68.0,0.0,0.0,0.0,0.0,0.73,64.6,0.6,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
