PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
De'Aaron Fox,0.097,0.816,0.281,1.042,0.406,0.878,0.0,0.0,0.0,0.0,0.082,1.049,0.033,0.64,0.013,1.25,0.015,1.087,0.011,0.875,0.06,0.758
De'Anthony Melton,0.0,0.0,0.239,0.707,0.321,0.482,0.0,0.0,0.0,0.0,0.222,0.987,0.0,0.0,0.032,1.455,0.0,0.0,0.032,0.909,0.085,0.483
DeAndre Jordan,0.0,0.0,0.087,1.435,0.0,0.0,0.225,1.353,0.127,0.821,0.0,0.0,0.0,0.0,0.199,1.286,0.0,0.0,0.193,1.0,0.153,0.395
DeAndre' Bembry,0.027,0.955,0.224,0.889,0.205,0.764,0.0,0.0,0.0,0.0,0.258,0.821,0.092,0.662,0.081,1.246,0.019,0.6,0.035,1.036,0.057,0.543
DeMar DeRozan,0.187,1.0,0.097,1.073,0.365,0.929,0.0,0.0,0.1,0.899,0.077,0.923,0.04,0.779,0.03,1.2,0.057,0.969,0.015,1.2,0.03,0.765
DeMarcus Cousins,0.034,0.706,0.141,1.31,0.0,0.0,0.088,0.795,0.219,0.936,0.243,0.787,0.0,0.0,0.124,1.306,0.02,0.9,0.062,1.258,0.06,0.467
DeMarre Carroll,0.034,0.769,0.252,1.057,0.05,0.579,0.02,1.067,0.0,0.0,0.405,1.016,0.028,1.238,0.041,1.355,0.069,0.547,0.045,0.971,0.055,0.929
Deandre Ayton,0.027,0.793,0.062,1.313,0.0,0.0,0.211,1.115,0.285,1.029,0.041,0.636,0.0,0.0,0.158,1.318,0.0,0.0,0.135,1.345,0.067,0.333
Delon Wright,0.087,0.833,0.233,1.169,0.348,0.782,0.0,0.0,0.0,0.0,0.18,0.844,0.043,1.267,0.045,1.438,0.0,0.0,0.056,1.05,0.113,0.692
Deng Adel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Schroder,0.114,0.858,0.188,0.98,0.427,0.807,0.007,0.8,0.0,0.0,0.162,1.059,0.025,1.059,0.01,1.077,0.019,0.769,0.0,0.0,0.041,0.696
Dennis Smith Jr.,0.086,1.048,0.216,0.84,0.431,0.806,0.0,0.0,0.0,0.0,0.124,1.016,0.037,1.071,0.047,1.087,0.063,0.935,0.0,0.0,0.051,0.6
Derrick Favors,0.0,0.0,0.063,1.333,0.0,0.0,0.27,1.193,0.037,1.167,0.14,0.708,0.0,0.0,0.243,1.316,0.0,0.0,0.166,1.269,0.072,0.362
Derrick Jones Jr.,0.0,0.0,0.171,1.097,0.0,0.0,0.057,1.542,0.0,0.0,0.303,0.797,0.0,0.0,0.209,1.284,0.0,0.0,0.161,1.059,0.064,0.519
Derrick Rose,0.125,1.071,0.168,1.192,0.432,0.948,0.0,0.0,0.0,0.0,0.121,0.908,0.043,1.205,0.039,1.229,0.024,1.045,0.016,0.643,0.028,0.72
Derrick White,0.045,0.935,0.135,1.085,0.347,0.88,0.0,0.0,0.0,0.0,0.28,0.974,0.055,0.947,0.037,1.462,0.024,1.059,0.019,0.923,0.052,0.639
