PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Aaron Gordon,0.055,0.76,0.167,1.112,0.138,0.64,0.025,1.217,0.141,0.922,0.162,0.85,0.057,0.635,0.081,1.608,0.032,0.448,0.083,1.053,0.059,0.5
Aaron Holiday,0.07,1.048,0.182,0.809,0.358,0.722,0.0,0.0,0.0,0.0,0.249,1.233,0.06,0.861,0.0,0.0,0.02,1.0,0.0,0.0,0.041,0.48
Abdel Nader,0.0,0.0,0.182,1.235,0.096,0.667,0.0,0.0,0.0,0.0,0.407,0.895,0.061,0.706,0.046,1.615,0.086,1.375,0.0,0.0,0.054,0.733
Adam Mokoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,0.0,0.0,0.161,1.286,0.0,0.0,0.126,1.091,0.0,0.0,0.402,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,0.035,0.615,0.154,1.172,0.0,0.0,0.185,1.043,0.23,0.902,0.202,0.855,0.0,0.0,0.051,1.395,0.023,0.882,0.048,1.139,0.061,0.413
Al-Farouq Aminu,0.0,0.0,0.178,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.488,0.0,0.0,0.119,1.071,0.0,0.0,0.119,0.786,0.0,0.0
Alec Burks,0.071,0.873,0.127,1.163,0.358,0.92,0.0,0.0,0.039,0.933,0.132,1.02,0.097,1.213,0.036,1.321,0.073,0.946,0.018,1.143,0.045,0.571
Alen Smailagic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,1.4,0.214,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,0.029,0.7,0.185,1.238,0.246,0.619,0.032,0.818,0.0,0.0,0.284,1.031,0.062,0.714,0.067,1.304,0.0,0.0,0.0,0.0,0.07,0.708
Alex Len,0.0,0.0,0.059,1.35,0.0,0.0,0.288,1.041,0.065,0.682,0.147,0.92,0.0,0.0,0.203,1.275,0.0,0.0,0.147,1.12,0.076,0.308
Alfonzo McKinnie,0.0,0.0,0.16,0.912,0.066,0.571,0.0,0.0,0.0,0.0,0.382,0.728,0.0,0.0,0.094,1.55,0.0,0.0,0.099,1.19,0.075,0.563
Allen Crabbe,0.0,0.0,0.12,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.399,1.016,0.215,0.941,0.0,0.0,0.114,0.611,0.0,0.0,0.0,0.0
Allonzo Trier,0.081,0.917,0.242,1.25,0.289,1.186,0.0,0.0,0.0,0.0,0.201,1.033,0.0,0.0,0.0,0.0,0.074,0.636,0.0,0.0,0.0,0.0
Andre Drummond,0.063,0.787,0.101,1.02,0.0,0.0,0.167,0.957,0.157,0.914,0.064,0.613,0.0,0.0,0.158,1.111,0.0,0.0,0.192,1.054,0.091,0.25
Andre Iguodala,0.0,0.0,0.236,0.706,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,0.091,0.8,0.093,1.109,0.364,0.863,0.0,0.0,0.04,0.974,0.137,0.896,0.105,1.01,0.056,1.527,0.064,0.968,0.029,1.0,0.019,0.947
Anfernee Simons,0.117,1.027,0.142,0.978,0.313,0.878,0.0,0.0,0.0,0.0,0.235,0.891,0.061,0.737,0.029,1.5,0.045,1.036,0.0,0.0,0.046,0.448
Ante Zizic,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.783,0.213,0.842,0.0,0.0,0.0,0.0,0.247,1.5,0.0,0.0,0.135,1.417,0.0,0.0
Anthony Davis,0.081,0.972,0.113,1.349,0.029,0.921,0.128,1.268,0.225,0.916,0.132,1.064,0.018,0.667,0.078,1.51,0.046,0.733,0.073,1.177,0.077,1.0
Anthony Tolliver,0.0,0.0,0.136,0.95,0.0,0.0,0.19,1.214,0.0,0.0,0.442,0.723,0.0,0.0,0.068,1.5,0.0,0.0,0.068,0.7,0.082,0.417
Anzejs Pasecniks,0.0,0.0,0.071,1.182,0.0,0.0,0.224,0.914,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.103,0.0,0.0,0.179,0.929,0.167,0.615
Aron Baynes,0.0,0.0,0.051,1.208,0.0,0.0,0.263,1.138,0.09,1.167,0.206,1.042,0.0,0.0,0.122,1.246,0.024,0.727,0.116,0.889,0.113,0.434
Austin Rivers,0.201,0.99,0.177,1.18,0.149,0.907,0.0,0.0,0.0,0.0,0.339,1.018,0.036,1.056,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.696
Avery Bradley,0.0,0.0,0.215,1.168,0.152,0.806,0.023,1.7,0.0,0.0,0.29,0.797,0.113,1.02,0.066,1.207,0.073,0.875,0.0,0.0,0.045,0.6
Bam Adebayo,0.076,0.863,0.106,1.098,0.047,0.98,0.178,1.17,0.065,0.899,0.08,0.857,0.0,0.0,0.251,1.162,0.0,0.0,0.086,1.022,0.106,0.446
Ben McLemore,0.0,0.0,0.212,1.157,0.0,0.0,0.085,0.913,0.0,0.0,0.482,1.261,0.022,0.167,0.041,1.591,0.081,0.932,0.0,0.0,0.05,0.556
Ben Simmons,0.049,0.978,0.301,0.975,0.149,0.814,0.035,1.061,0.114,0.907,0.041,1.308,0.013,0.667,0.142,1.328,0.0,0.0,0.053,1.0,0.103,0.485
Bismack Biyombo,0.0,0.0,0.096,1.132,0.0,0.0,0.249,0.949,0.043,1.0,0.0,0.0,0.0,0.0,0.33,1.2,0.0,0.0,0.162,0.813,0.112,0.636
Blake Griffin,0.093,0.806,0.108,1.25,0.202,0.866,0.078,0.731,0.166,0.909,0.178,0.746,0.036,0.333,0.036,0.917,0.0,0.0,0.039,0.615,0.045,0.267
Boban Marjanovic,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.231,0.321,0.955,0.0,0.0,0.0,0.0,0.088,1.667,0.0,0.0,0.219,1.367,0.139,0.316
Bobby Portis,0.043,0.8,0.094,1.288,0.0,0.0,0.158,0.991,0.205,0.813,0.271,1.058,0.0,0.0,0.046,1.031,0.03,0.762,0.088,0.855,0.05,0.486
Bogdan Bogdanovic,0.064,1.0,0.136,1.173,0.246,0.894,0.0,0.0,0.014,0.545,0.258,1.056,0.099,0.947,0.034,1.423,0.095,0.904,0.0,0.0,0.039,0.5
Bojan Bogdanovic,0.095,0.922,0.162,1.163,0.138,0.814,0.023,1.357,0.045,1.091,0.217,1.114,0.086,0.904,0.022,1.593,0.166,0.975,0.017,1.35,0.029,0.914
Brad Wanamaker,0.034,0.533,0.226,1.232,0.31,0.787,0.0,0.0,0.0,0.0,0.262,1.017,0.036,0.563,0.027,1.333,0.025,1.091,0.0,0.0,0.066,0.379
Bradley Beal,0.092,0.897,0.172,1.155,0.322,0.972,0.0,0.0,0.011,0.889,0.098,1.06,0.098,1.018,0.038,1.328,0.116,0.918,0.017,1.0,0.031,0.808
Brandon Clarke,0.022,0.545,0.18,1.42,0.0,0.0,0.237,1.483,0.02,0.7,0.204,1.14,0.0,0.0,0.135,1.318,0.0,0.0,0.116,1.175,0.061,0.533
Brandon Goodwin,0.047,1.455,0.207,0.979,0.289,0.97,0.0,0.0,0.0,0.0,0.272,0.73,0.086,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Ingram,0.132,0.988,0.19,1.157,0.226,0.878,0.011,2.0,0.033,0.721,0.206,1.134,0.057,1.08,0.026,1.5,0.068,0.876,0.018,1.217,0.034,0.591
Brandon Knight,0.0,0.0,0.133,0.667,0.442,0.78,0.0,0.0,0.0,0.0,0.186,1.381,0.094,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brook Lopez,0.019,0.923,0.138,0.853,0.0,0.0,0.164,1.142,0.158,1.083,0.286,0.919,0.039,0.556,0.078,1.352,0.017,1.583,0.029,1.3,0.068,0.234
Bruce Brown,0.043,0.769,0.172,1.077,0.295,0.697,0.0,0.0,0.0,0.0,0.232,0.886,0.027,0.625,0.103,0.968,0.0,0.0,0.065,1.103,0.055,0.424
Bruno Caboclo,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.9,0.0,0.0,0.26,0.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Fernando,0.0,0.0,0.095,1.16,0.0,0.0,0.202,1.019,0.087,0.826,0.179,0.447,0.0,0.0,0.19,1.1,0.0,0.0,0.179,1.17,0.068,0.389
Bryn Forbes,0.0,0.0,0.183,1.146,0.138,0.849,0.0,0.0,0.0,0.0,0.373,1.143,0.141,1.126,0.0,0.0,0.097,1.108,0.0,0.0,0.04,0.333
Buddy Hield,0.063,0.85,0.187,1.025,0.267,0.917,0.01,0.417,0.0,0.0,0.171,1.233,0.06,0.853,0.032,0.925,0.143,1.111,0.023,1.034,0.043,0.611
CJ McCollum,0.133,0.843,0.146,1.123,0.373,0.937,0.0,0.0,0.0,0.0,0.135,1.181,0.049,0.941,0.018,1.04,0.084,1.128,0.021,0.793,0.037,0.788
CJ Miles,0.0,0.0,0.314,0.955,0.0,0.0,0.0,0.0,0.0,0.0,0.286,1.0,0.0,0.0,0.0,0.0,0.157,0.909,0.0,0.0,0.0,0.0
Caleb Martin,0.0,0.0,0.239,0.731,0.11,0.417,0.0,0.0,0.0,0.0,0.33,1.306,0.11,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Swanigan,0.0,0.0,0.0,0.0,0.0,0.0,0.134,1.091,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.923,0.0,0.0,0.159,0.615,0.317,0.269
Cam Reddish,0.035,0.64,0.206,1.021,0.214,0.717,0.0,0.0,0.0,0.0,0.293,0.87,0.123,0.816,0.037,1.269,0.023,0.938,0.028,0.8,0.037,0.654
Cameron Johnson,0.0,0.0,0.214,1.313,0.04,0.733,0.0,0.0,0.0,0.0,0.439,1.152,0.051,0.421,0.072,0.741,0.083,0.903,0.051,1.263,0.035,0.462
Caris LeVert,0.16,0.685,0.139,1.148,0.404,0.818,0.0,0.0,0.0,0.0,0.135,0.848,0.036,1.321,0.046,1.278,0.014,0.545,0.032,0.92,0.027,0.762
Carmelo Anthony,0.131,0.843,0.085,1.186,0.056,0.63,0.096,0.81,0.288,0.899,0.206,1.141,0.0,0.0,0.022,0.889,0.0,0.0,0.055,1.022,0.047,0.359
Carsen Edwards,0.0,0.0,0.132,0.357,0.217,0.957,0.0,0.0,0.0,0.0,0.245,0.692,0.0,0.0,0.0,0.0,0.198,0.905,0.0,0.0,0.0,0.0
Chandler Hutchison,0.0,0.0,0.225,1.057,0.11,0.577,0.0,0.0,0.0,0.0,0.377,1.022,0.055,0.615,0.085,0.95,0.0,0.0,0.047,0.909,0.0,0.0
Chandler Parsons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheick Diallo,0.0,0.0,0.114,1.333,0.0,0.0,0.227,1.31,0.081,1.0,0.119,0.682,0.0,0.0,0.238,1.477,0.0,0.0,0.076,1.143,0.103,0.368
Chris Boucher,0.0,0.0,0.097,1.406,0.0,0.0,0.284,1.17,0.0,0.0,0.202,0.776,0.0,0.0,0.145,1.229,0.0,0.0,0.205,1.015,0.036,0.75
Chris Chiozza,0.0,0.0,0.256,1.0,0.226,0.583,0.0,0.0,0.0,0.0,0.321,1.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Paul,0.169,0.949,0.136,1.028,0.493,1.087,0.0,0.0,0.0,0.0,0.085,1.236,0.018,0.737,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.933
Chris Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.152,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.177,1.429,0.0,0.0,0.291,1.261,0.253,0.0
Christian Wood,0.052,0.611,0.167,1.112,0.0,0.0,0.197,1.504,0.066,0.804,0.216,1.187,0.0,0.0,0.096,1.239,0.0,0.0,0.102,1.338,0.075,0.808
Clint Capela,0.0,0.0,0.164,1.321,0.0,0.0,0.17,1.095,0.032,1.125,0.0,0.0,0.0,0.0,0.381,1.207,0.0,0.0,0.184,0.967,0.059,0.31
