PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Aaron Brooks,0.11,0.762,0.102,0.718,0.441,0.852,0.0,0.0,0.0,0.0,0.188,1.014,0.05,0.737,0.0,0.0,0.037,1.143,0.0,0.0,0.055,0.429
Aaron Gordon,0.068,1.155,0.199,1.029,0.111,0.75,0.045,1.17,0.074,0.795,0.222,0.785,0.049,0.784,0.075,1.747,0.038,0.75,0.08,1.202,0.039,0.659
Al Horford,0.04,1.128,0.05,1.125,0.0,0.0,0.244,1.025,0.282,0.934,0.184,1.028,0.0,0.0,0.067,1.138,0.035,0.882,0.034,1.0,0.052,0.52
Al Jefferson,0.018,0.6,0.018,1.1,0.0,0.0,0.224,0.975,0.462,0.984,0.018,0.8,0.0,0.0,0.122,1.182,0.0,0.0,0.094,1.059,0.039,0.476
Al-Farouq Aminu,0.049,0.8,0.141,0.828,0.023,1.357,0.075,0.783,0.016,0.9,0.459,0.88,0.028,0.353,0.08,1.143,0.0,0.0,0.068,0.976,0.054,0.273
Alan Anderson,0.191,0.833,0.0,0.0,0.117,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,0.0,0.0,0.096,1.5,0.0,0.0,0.237,1.083,0.169,0.8,0.0,0.0,0.0,0.0,0.209,0.973,0.0,0.0,0.181,1.078,0.093,0.333
Alec Burks,0.083,0.615,0.153,0.938,0.299,0.947,0.0,0.0,0.0,0.0,0.229,0.861,0.07,1.045,0.035,0.818,0.054,1.059,0.035,0.545,0.041,1.0
Alex Abrines,0.0,0.0,0.165,1.385,0.063,0.72,0.0,0.0,0.0,0.0,0.439,1.139,0.066,0.462,0.0,0.0,0.119,0.787,0.025,0.5,0.069,0.63
Alex Len,0.023,0.8,0.068,1.133,0.0,0.0,0.183,0.95,0.195,0.688,0.058,0.684,0.0,0.0,0.177,1.224,0.0,0.0,0.16,1.267,0.119,0.359
