PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Aaron Gordon,0.09,0.823,0.201,0.963,0.094,0.72,0.053,1.25,0.09,0.906,0.213,0.991,0.047,0.8,0.058,1.387,0.067,0.944,0.05,1.226,0.038,0.537
Aaron Harrison,0.0,0.0,0.15,0.917,0.175,0.5,0.0,0.0,0.0,0.0,0.413,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,0.0,0.0,0.161,0.813,0.151,0.633,0.0,0.0,0.0,0.0,0.397,0.658,0.05,0.8,0.0,0.0,0.07,1.071,0.0,0.0,0.0,0.0
Al Horford,0.035,1.121,0.08,0.947,0.026,0.875,0.205,1.203,0.265,0.823,0.183,1.25,0.0,0.0,0.062,1.19,0.021,0.65,0.042,1.0,0.071,0.254
Al Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.233,1.071,0.408,1.092,0.05,0.833,0.0,0.0,0.129,1.29,0.0,0.0,0.092,0.955,0.0,0.0
Al-Farouq Aminu,0.024,0.588,0.132,1.011,0.016,0.273,0.126,1.045,0.0,0.0,0.473,0.948,0.023,0.875,0.055,1.0,0.014,0.7,0.073,0.98,0.052,0.583
Alan Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,0.113,0.85,0.166,1.045,0.236,0.768,0.0,0.0,0.0,0.0,0.257,0.993,0.087,0.913,0.047,1.36,0.042,0.773,0.0,0.0,0.038,0.8
Alec Peters,0.0,0.0,0.171,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.031,0.0,0.0,0.0,0.0,0.122,1.3,0.0,0.0,0.0,0.0
Alex Abrines,0.03,0.3,0.159,1.396,0.066,0.591,0.0,0.0,0.0,0.0,0.491,1.085,0.033,1.0,0.0,0.0,0.09,1.0,0.036,0.917,0.048,0.688
