PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Aaron Brooks,0.071,0.78,0.104,0.95,0.561,0.82,0.0,0.0,0.0,0.0,0.123,1.113,0.068,0.923,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.379
Aaron Gordon,0.041,0.6,0.174,1.079,0.051,1.0,0.07,1.0,0.043,0.71,0.247,0.85,0.025,0.667,0.122,1.292,0.0,0.0,0.146,1.292,0.073,0.642
Al Horford,0.033,0.725,0.1,1.246,0.0,0.0,0.247,1.13,0.139,0.888,0.231,0.929,0.0,0.0,0.107,1.185,0.035,0.884,0.055,1.284,0.047,0.491
Al Jefferson,0.0,0.0,0.019,1.364,0.0,0.0,0.169,1.081,0.518,0.882,0.048,1.0,0.0,0.0,0.138,1.16,0.0,0.0,0.058,0.824,0.026,0.4
Al-Farouq Aminu,0.038,0.324,0.179,0.894,0.085,0.684,0.04,1.0,0.021,0.421,0.374,1.027,0.06,0.889,0.051,1.413,0.05,0.867,0.058,1.135,0.044,0.675
Alan Anderson,0.167,0.818,0.182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,0.117,0.769,0.155,1.087,0.315,0.821,0.0,0.0,0.0,0.0,0.214,1.095,0.077,0.882,0.036,1.0,0.0,0.0,0.0,0.0,0.045,0.9
Alex Len,0.025,0.273,0.045,0.897,0.0,0.0,0.113,0.869,0.296,0.686,0.09,0.671,0.0,0.0,0.197,1.163,0.018,0.75,0.127,0.946,0.084,0.315
Alex Stepheson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0
Alexis Ajinca,0.0,0.0,0.043,1.0,0.0,0.0,0.275,0.945,0.096,0.684,0.151,0.75,0.0,0.0,0.171,1.088,0.045,1.0,0.108,1.116,0.086,0.353
Allen Crabbe,0.0,0.0,0.179,1.193,0.092,0.75,0.032,1.12,0.0,0.0,0.325,1.192,0.108,0.765,0.043,1.471,0.163,0.93,0.013,2.0,0.033,0.5
Alonzo Gee,0.0,0.0,0.311,1.19,0.03,0.7,0.0,0.0,0.0,0.0,0.328,0.811,0.0,0.0,0.127,1.209,0.0,0.0,0.086,1.034,0.068,0.348
Amar'e Stoudemire,0.0,0.0,0.04,0.833,0.0,0.0,0.273,1.296,0.192,0.789,0.037,0.909,0.0,0.0,0.195,1.207,0.037,0.727,0.141,1.071,0.061,0.167
Amir Johnson,0.031,1.111,0.108,1.323,0.0,0.0,0.156,1.122,0.109,0.857,0.094,0.63,0.0,0.0,0.193,1.387,0.0,0.0,0.174,1.09,0.127,0.233
Anderson Varejao,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.889,0.098,0.1,0.216,0.727,0.0,0.0,0.235,1.125,0.0,0.0,0.108,0.727,0.108,0.636
Andre Drummond,0.036,0.623,0.06,1.0,0.0,0.0,0.132,1.103,0.275,0.726,0.015,0.636,0.0,0.0,0.124,1.137,0.0,0.0,0.233,1.079,0.126,0.459
Andre Iguodala,0.079,0.947,0.238,1.13,0.077,0.486,0.0,0.0,0.029,0.571,0.267,1.023,0.023,1.455,0.081,1.128,0.054,1.038,0.033,1.063,0.108,0.481
Andre Miller,0.0,0.0,0.0,0.0,0.356,0.875,0.0,0.0,0.0,0.0,0.152,0.5,0.0,0.0,0.122,1.455,0.0,0.0,0.0,0.0,0.133,0.0
Andre Roberson,0.0,0.0,0.266,1.157,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.832,0.0,0.0,0.18,1.267,0.0,0.0,0.123,1.098,0.066,0.636
Andrea Bargnani,0.052,0.588,0.037,1.333,0.0,0.0,0.33,0.954,0.043,1.0,0.287,0.894,0.0,0.0,0.086,1.321,0.049,0.875,0.064,0.81,0.043,0.429
Andrew Bogut,0.0,0.0,0.05,1.316,0.0,0.0,0.097,0.892,0.065,0.56,0.0,0.0,0.0,0.0,0.366,1.421,0.0,0.0,0.188,1.014,0.194,0.23
Andrew Nicholson,0.0,0.0,0.073,1.179,0.0,0.0,0.186,0.845,0.323,0.943,0.223,1.106,0.0,0.0,0.05,1.158,0.026,1.5,0.05,1.211,0.055,0.524
Andrew Wiggins,0.102,0.853,0.117,1.177,0.189,0.847,0.028,1.041,0.12,1.0,0.099,0.953,0.067,1.0,0.055,1.305,0.145,0.825,0.044,1.091,0.033,0.86
Anthony Brown,0.0,0.0,0.188,0.714,0.067,0.5,0.0,0.0,0.0,0.0,0.423,0.857,0.074,1.273,0.0,0.0,0.094,0.571,0.0,0.0,0.0,0.0
Anthony Davis,0.087,0.677,0.081,1.357,0.0,0.0,0.247,1.06,0.184,0.782,0.13,0.952,0.01,1.5,0.075,1.355,0.065,1.054,0.064,1.337,0.055,0.759
Anthony Morrow,0.05,1.5,0.16,1.0,0.044,0.75,0.0,0.0,0.0,0.0,0.461,1.048,0.064,0.739,0.03,1.182,0.116,1.071,0.0,0.0,0.044,0.688
Anthony Tolliver,0.0,0.0,0.142,0.981,0.0,0.0,0.108,1.073,0.0,0.0,0.551,1.053,0.0,0.0,0.032,1.667,0.082,0.839,0.0,0.0,0.042,0.125
Archie Goodwin,0.083,0.88,0.213,1.086,0.259,0.622,0.0,0.0,0.0,0.0,0.201,0.884,0.051,0.774,0.056,1.029,0.018,0.636,0.033,1.1,0.083,0.46
Aron Baynes,0.0,0.0,0.053,1.286,0.0,0.0,0.223,1.11,0.176,0.914,0.045,0.542,0.0,0.0,0.184,1.278,0.0,0.0,0.184,0.845,0.112,0.61
Arron Afflalo,0.088,1.037,0.132,1.033,0.08,0.733,0.0,0.0,0.169,1.025,0.234,1.028,0.07,0.754,0.033,1.452,0.149,0.95,0.0,0.0,0.032,0.667
Austin Rivers,0.143,0.811,0.144,1.132,0.333,0.852,0.0,0.0,0.0,0.0,0.195,1.016,0.067,0.738,0.048,1.3,0.025,1.438,0.0,0.0,0.03,0.368
Avery Bradley,0.039,0.696,0.2,1.131,0.135,0.75,0.0,0.0,0.0,0.0,0.203,1.067,0.172,0.828,0.046,1.5,0.146,0.908,0.019,1.364,0.039,0.826
Axel Toupane,0.0,0.0,0.171,1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.585,0.854,0.0,0.0,0.146,1.083,0.0,0.0,0.0,0.0,0.0,0.0
Ben McLemore,0.045,0.852,0.262,1.089,0.082,0.469,0.0,0.0,0.0,0.0,0.277,0.843,0.063,1.053,0.06,1.028,0.134,0.837,0.018,1.0,0.055,0.394
Beno Udrih,0.0,0.0,0.109,0.636,0.401,0.84,0.0,0.0,0.0,0.0,0.173,1.057,0.134,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.167
Bismack Biyombo,0.0,0.0,0.034,1.563,0.0,0.0,0.193,1.178,0.036,0.706,0.0,0.0,0.0,0.0,0.34,1.075,0.0,0.0,0.227,0.896,0.154,0.583
