PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Aaron Gordon,0.055,0.76,52.2,0.167,1.112,150.8,0.138,0.64,127.60000000000001,0.025,1.217,23.200000000000003,0.141,0.922,127.60000000000001,0.162,0.85,145.0,0.057,0.635,52.2,0.081,1.608,75.4,0.032,0.448,29.0,0.083,1.053,75.4,0.059,0.5,52.2
Aaron Holiday,0.07,1.048,40.599999999999994,0.182,0.809,110.19999999999999,0.358,0.722,214.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.249,1.233,150.8,0.06,0.861,34.8,0.0,0.0,0.0,0.02,1.0,11.600000000000001,0.0,0.0,0.0,0.041,0.48,23.200000000000003
Abdel Nader,0.0,0.0,0.0,0.182,1.235,52.800000000000004,0.096,0.667,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.895,115.19999999999999,0.061,0.706,19.200000000000003,0.046,1.615,14.399999999999999,0.086,1.375,24.0,0.0,0.0,0.0,0.054,0.733,14.399999999999999
Adam Mokoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.769,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,0.0,0.0,0.0,0.161,1.286,13.5,0.0,0.0,0.0,0.126,1.091,10.8,0.0,0.0,0.0,0.402,0.771,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,0.035,0.615,24.0,0.154,1.172,114.0,0.0,0.0,0.0,0.185,1.043,138.0,0.23,0.902,174.0,0.202,0.855,150.0,0.0,0.0,0.0,0.051,1.395,36.0,0.023,0.882,18.0,0.048,1.139,36.0,0.061,0.413,48.0
Al-Farouq Aminu,0.0,0.0,0.0,0.178,0.571,21.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.488,43.199999999999996,0.0,0.0,0.0,0.119,1.071,14.4,0.0,0.0,0.0,0.119,0.786,14.4,0.0,0.0,0.0
Alec Burks,0.071,0.873,52.800000000000004,0.127,1.163,96.0,0.358,0.92,278.4,0.0,0.0,0.0,0.039,0.933,28.799999999999997,0.132,1.02,100.80000000000001,0.097,1.213,76.80000000000001,0.036,1.321,28.799999999999997,0.073,0.946,57.599999999999994,0.018,1.143,14.399999999999999,0.045,0.571,33.599999999999994
Alen Smailagic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,1.4,10.4,0.214,1.25,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,0.029,0.7,11.600000000000001,0.185,1.238,63.800000000000004,0.246,0.619,81.19999999999999,0.032,0.818,11.600000000000001,0.0,0.0,0.0,0.284,1.031,98.6,0.062,0.714,23.200000000000003,0.067,1.304,23.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.708,23.200000000000003
Alex Len,0.0,0.0,0.0,0.059,1.35,20.0,0.0,0.0,0.0,0.288,1.041,100.0,0.065,0.682,24.0,0.147,0.92,52.0,0.0,0.0,0.0,0.203,1.275,68.0,0.0,0.0,0.0,0.147,1.12,52.0,0.076,0.308,28.0
Alfonzo McKinnie,0.0,0.0,0.0,0.16,0.912,36.0,0.066,0.571,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,0.728,80.0,0.0,0.0,0.0,0.094,1.55,20.0,0.0,0.0,0.0,0.099,1.19,20.0,0.075,0.563,16.0
Allen Crabbe,0.0,0.0,0.0,0.12,0.895,19.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,1.016,64.39999999999999,0.215,0.941,33.6,0.0,0.0,0.0,0.114,0.611,16.8,0.0,0.0,0.0,0.0,0.0,0.0
Allonzo Trier,0.081,0.917,12.0,0.242,1.25,36.0,0.289,1.186,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.201,1.033,31.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.636,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,0.063,0.787,58.8,0.101,1.02,98.0,0.0,0.0,0.0,0.167,0.957,161.7,0.157,0.914,151.9,0.064,0.613,63.7,0.0,0.0,0.0,0.158,1.111,151.9,0.0,0.0,0.0,0.192,1.054,186.2,0.091,0.25,88.2
Andre Iguodala,0.0,0.0,0.0,0.236,0.706,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.85,19.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,0.091,0.8,88.2,0.093,1.109,92.4,0.364,0.863,357.0,0.0,0.0,0.0,0.04,0.974,37.800000000000004,0.137,0.896,134.4,0.105,1.01,105.0,0.056,1.527,54.6,0.064,0.968,63.0,0.029,1.0,29.4,0.019,0.947,21.0
Anfernee Simons,0.117,1.027,71.5,0.142,0.978,91.0,0.313,0.878,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.891,149.5,0.061,0.737,39.0,0.029,1.5,19.5,0.045,1.036,26.0,0.0,0.0,0.0,0.046,0.448,26.0
Ante Zizic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.783,22.0,0.213,0.842,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.247,1.5,22.0,0.0,0.0,0.0,0.135,1.417,11.0,0.0,0.0,0.0
Anthony Davis,0.081,0.972,106.39999999999999,0.113,1.349,151.20000000000002,0.029,0.921,39.199999999999996,0.128,1.268,168.0,0.225,0.916,296.8,0.132,1.064,173.6,0.018,0.667,22.400000000000002,0.078,1.51,100.8,0.046,0.733,61.60000000000001,0.073,1.177,95.2,0.077,1.0,100.8
Anthony Tolliver,0.0,0.0,0.0,0.136,0.95,19.8,0.0,0.0,0.0,0.19,1.214,26.400000000000002,0.0,0.0,0.0,0.442,0.723,66.0,0.0,0.0,0.0,0.068,1.5,9.9,0.0,0.0,0.0,0.068,0.7,9.9,0.082,0.417,13.200000000000001
Anzejs Pasecniks,0.0,0.0,0.0,0.071,1.182,12.0,0.0,0.0,0.0,0.224,0.914,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.103,38.400000000000006,0.0,0.0,0.0,0.179,0.929,28.799999999999997,0.167,0.615,26.400000000000002
Aron Baynes,0.0,0.0,0.0,0.051,1.208,25.2,0.0,0.0,0.0,0.263,1.138,121.8,0.09,1.167,42.0,0.206,1.042,96.6,0.0,0.0,0.0,0.122,1.246,58.8,0.024,0.727,12.6,0.116,0.889,54.6,0.113,0.434,54.6
