PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Aaron Gordon,0.06,0.785,78.0,0.14,1.043,187.2,0.121,0.766,156.0,0.026,0.912,31.200000000000003,0.132,0.838,171.60000000000002,0.204,1.004,265.2,0.069,1.011,93.6,0.069,1.378,93.6,0.069,0.878,93.6,0.07,1.163,93.6,0.041,0.481,54.599999999999994
Aaron Holiday,0.04,0.846,15.0,0.189,1.033,60.0,0.322,0.798,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,1.052,75.0,0.111,0.806,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.5,20.0
Abdel Nader,0.049,1.333,12.0,0.236,1.086,60.0,0.089,0.773,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492,0.876,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,0.028,1.208,27.200000000000003,0.085,1.0,74.80000000000001,0.0,0.0,0.0,0.316,1.154,272.0,0.165,0.993,142.8,0.176,1.086,149.60000000000002,0.0,0.0,0.0,0.09,1.359,74.80000000000001,0.019,0.938,13.600000000000001,0.056,1.125,47.599999999999994,0.057,0.347,47.599999999999994
Al-Farouq Aminu,0.034,1.04,24.3,0.154,1.184,113.39999999999999,0.022,0.563,16.2,0.035,1.346,24.3,0.0,0.0,0.0,0.47,0.945,348.3,0.015,0.818,8.1,0.103,1.184,72.9,0.026,0.579,16.2,0.08,1.237,56.699999999999996,0.054,0.75,40.5
Alec Burks,0.114,0.837,47.599999999999994,0.133,0.807,57.8,0.271,0.69,115.6,0.0,0.0,0.0,0.026,0.909,10.2,0.187,1.237,81.6,0.07,1.133,30.6,0.051,1.318,20.4,0.04,0.882,17.0,0.044,0.947,20.4,0.058,0.8,23.799999999999997
Alex Abrines,0.0,0.0,0.0,0.175,0.742,31.0,0.079,1.214,15.5,0.056,0.6,9.299999999999999,0.0,0.0,0.0,0.424,1.067,74.39999999999999,0.085,1.333,15.5,0.0,0.0,0.0,0.113,0.85,18.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,0.053,1.154,12.5,0.147,1.139,35.0,0.416,0.824,102.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.147,1.0,35.0,0.041,1.1,10.0,0.065,1.313,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.429,20.0
Alex Len,0.015,0.5,15.200000000000001,0.086,1.239,68.4,0.0,0.0,0.0,0.197,1.093,159.6,0.109,1.1,91.2,0.213,1.057,174.79999999999998,0.0,0.0,0.0,0.142,1.128,114.0,0.0,0.0,0.0,0.146,0.908,121.60000000000001,0.081,0.358,68.4
Alex Poythress,0.0,0.0,0.0,0.16,1.353,16.8,0.0,0.0,0.0,0.179,1.316,18.900000000000002,0.0,0.0,0.0,0.292,0.871,31.5,0.0,0.0,0.0,0.104,1.273,10.5,0.0,0.0,0.0,0.16,1.0,16.8,0.104,0.091,10.5
Alfonzo McKinnie,0.0,0.0,0.0,0.175,1.175,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,1.048,122.39999999999999,0.031,0.2,7.2,0.156,1.333,50.4,0.0,0.0,0.0,0.135,0.977,43.199999999999996,0.061,0.45,21.599999999999998
Allen Crabbe,0.0,0.0,0.0,0.128,1.161,55.9,0.032,0.571,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.908,150.5,0.087,1.132,38.7,0.0,0.0,0.0,0.297,0.877,129.0,0.0,0.0,0.0,0.053,0.739,21.5
Allonzo Trier,0.106,1.0,76.8,0.23,1.047,166.4,0.336,0.802,249.6,0.0,0.0,0.0,0.0,0.0,0.0,0.167,1.089,121.6,0.042,0.839,32.0,0.015,0.727,12.8,0.033,1.0,25.6,0.024,1.278,19.2,0.039,0.621,32.0
Amir Johnson,0.0,0.0,0.0,0.119,0.846,25.5,0.0,0.0,0.0,0.123,1.185,25.5,0.0,0.0,0.0,0.164,1.0,35.699999999999996,0.0,0.0,0.0,0.237,1.0,51.0,0.0,0.0,0.0,0.155,1.029,35.699999999999996,0.16,0.371,35.699999999999996
Andre Drummond,0.026,0.838,39.5,0.099,1.136,142.20000000000002,0.0,0.0,0.0,0.148,1.086,213.3,0.185,0.837,260.7,0.037,0.615,55.3,0.0,0.0,0.0,0.156,1.162,221.2,0.0,0.0,0.0,0.258,1.052,363.4,0.088,0.416,126.4
Andre Iguodala,0.031,0.417,13.600000000000001,0.227,1.264,88.4,0.05,0.737,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.91,136.0,0.037,1.071,13.600000000000001,0.141,1.5,54.400000000000006,0.0,0.0,0.0,0.026,1.6,6.800000000000001,0.084,0.344,34.0
Andrew Bogut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,1.182,11.0,0.0,0.0,0.0,0.244,0.727,11.0,0.222,0.4,9.9
Andrew Harrison,0.218,0.917,12.0,0.0,0.0,0.0,0.309,0.706,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.417,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
