PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Kyrie Irving,0.214,1.123,367.2,0.154,1.136,266.40000000000003,0.34,0.959,583.1999999999999,0.007,0.667,14.4,0.025,0.977,43.199999999999996,0.08,1.146,136.79999999999998,0.055,1.011,93.60000000000001,0.023,1.59,36.0,0.041,1.141,72.0,0.014,0.708,21.599999999999998,0.047,0.613,79.2
LaMarcus Aldridge,0.034,0.558,43.199999999999996,0.039,1.3,50.4,0.0,0.0,0.0,0.191,0.942,244.79999999999998,0.327,0.865,417.59999999999997,0.162,0.946,201.6,0.0,0.0,0.0,0.065,1.415,79.2,0.034,0.814,43.199999999999996,0.094,1.336,122.39999999999999,0.046,0.724,57.6
Lance Stephenson,0.143,1.1,10.2,0.214,0.867,15.0,0.314,0.682,22.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.214,1.333,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lance Thomas,0.034,1.0,9.200000000000001,0.126,0.703,36.800000000000004,0.034,0.8,9.200000000000001,0.055,0.75,13.799999999999999,0.0,0.0,0.0,0.532,1.051,156.4,0.0,0.0,0.0,0.051,0.8,13.799999999999999,0.041,1.083,13.799999999999999,0.058,0.882,18.400000000000002,0.048,0.571,13.799999999999999
Langston Galloway,0.041,0.65,22.0,0.199,1.062,99.0,0.203,0.727,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,1.209,159.5,0.033,0.938,16.5,0.0,0.0,0.0,0.133,0.8,66.0,0.0,0.0,0.0,0.043,0.571,22.0
Larry Nance Jr.,0.0,0.0,0.0,0.119,1.444,56.7,0.0,0.0,0.0,0.223,0.931,100.80000000000001,0.06,0.667,25.200000000000003,0.159,0.806,69.30000000000001,0.0,0.0,0.0,0.186,1.202,81.9,0.027,1.083,12.600000000000001,0.142,1.047,63.0,0.062,0.393,25.200000000000003
Lavoy Allen,0.0,0.0,0.0,0.08,0.941,18.3,0.0,0.0,0.0,0.146,0.774,30.5,0.0,0.0,0.0,0.188,0.75,42.699999999999996,0.0,0.0,0.0,0.244,1.019,54.9,0.0,0.0,0.0,0.211,0.911,42.699999999999996,0.089,0.368,18.3
LeBron James,0.203,0.973,377.4,0.225,1.209,414.4,0.199,0.962,370.0,0.026,1.429,51.8,0.113,0.943,207.2,0.059,1.027,111.0,0.016,0.767,29.6,0.058,1.556,111.0,0.015,0.704,29.6,0.031,1.293,59.2,0.054,0.436,103.6
Leandro Barbosa,0.068,0.774,33.5,0.159,1.26,73.7,0.41,0.739,187.6,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.92,87.10000000000001,0.048,0.909,20.099999999999998,0.0,0.0,0.0,0.061,1.0,26.8,0.0,0.0,0.0,0.028,0.923,13.4
Lou Williams,0.1,1.071,98.6,0.145,1.042,145.0,0.451,1.067,446.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.111,98.6,0.092,1.055,92.80000000000001,0.026,1.385,23.200000000000003,0.043,1.186,40.599999999999994,0.0,0.0,0.0,0.034,1.059,34.8
Luc Mbah a Moute,0.0,0.0,0.0,0.211,0.948,96.0,0.035,1.188,16.0,0.05,1.043,24.0,0.0,0.0,0.0,0.411,1.138,192.0,0.03,1.357,16.0,0.152,1.143,72.0,0.0,0.0,0.0,0.035,0.875,16.0,0.033,0.4,16.0
Lucas Nogueira,0.0,0.0,0.0,0.114,1.308,28.5,0.0,0.0,0.0,0.284,1.246,62.7,0.0,0.0,0.0,0.066,1.0,17.099999999999998,0.0,0.0,0.0,0.205,1.383,45.6,0.0,0.0,0.0,0.179,1.244,39.9,0.144,0.212,34.199999999999996
Luis Scola,0.0,0.0,0.0,0.09,1.056,18.0,0.0,0.0,0.0,0.189,1.0,39.6,0.159,0.875,32.4,0.229,0.804,46.800000000000004,0.0,0.0,0.0,0.06,1.083,10.799999999999999,0.0,0.0,0.0,0.174,1.257,36.0,0.08,0.25,14.4
Luke Babbitt,0.0,0.0,0.0,0.144,1.044,47.599999999999994,0.0,0.0,0.0,0.109,0.912,34.0,0.0,0.0,0.0,0.607,1.121,190.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.118,20.4
Luol Deng,0.043,0.429,22.400000000000002,0.164,1.099,78.39999999999999,0.105,0.75,50.4,0.022,1.0,11.200000000000001,0.047,0.696,22.400000000000002,0.292,0.833,145.6,0.077,0.816,39.199999999999996,0.061,1.267,28.0,0.065,0.594,33.6,0.077,1.184,39.199999999999996,0.047,0.174,22.400000000000002
Malcolm Brogdon,0.07,0.554,52.5,0.11,1.136,90.0,0.31,0.815,247.5,0.0,0.0,0.0,0.017,0.857,15.0,0.217,1.19,172.5,0.05,1.325,37.5,0.084,1.104,67.5,0.051,0.732,37.5,0.025,1.05,22.5,0.055,0.545,45.0
Malcolm Delaney,0.089,0.717,43.8,0.146,0.697,73.0,0.372,0.741,189.8,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.716,102.19999999999999,0.05,0.731,29.200000000000003,0.0,0.0,0.0,0.035,1.167,14.600000000000001,0.0,0.0,0.0,0.089,0.652,43.8
Manu Ginobili,0.057,0.727,34.5,0.137,1.051,75.9,0.243,0.764,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,1.011,179.4,0.087,1.02,48.3,0.049,0.893,27.6,0.04,0.652,20.7,0.0,0.0,0.0,0.052,0.567,27.6
Marc Gasol,0.072,0.849,103.6,0.067,1.01,96.2,0.0,0.0,0.0,0.23,1.024,333.0,0.32,0.938,466.2,0.154,1.035,229.4,0.011,1.375,14.8,0.044,1.203,66.60000000000001,0.038,1.073,51.8,0.016,1.333,22.2,0.044,0.328,66.60000000000001
Marcelo Huertas,0.0,0.0,0.0,0.117,0.727,11.5,0.489,0.739,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.545,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcin Gortat,0.0,0.0,0.0,0.041,1.2,32.800000000000004,0.0,0.0,0.0,0.225,1.093,196.79999999999998,0.204,0.943,172.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.295,1.184,254.20000000000002,0.0,0.0,0.0,0.141,1.18,123.0,0.079,0.191,65.60000000000001
Marco Belinelli,0.016,0.417,14.8,0.08,0.867,59.2,0.196,0.918,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,1.043,162.8,0.123,1.13,88.8,0.083,1.419,59.2,0.22,1.03,162.8,0.0,0.0,0.0,0.055,0.707,44.4
