PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Aaron Brooks,0.071,0.78,41.4,0.104,0.95,62.1,0.561,0.82,324.3,0.0,0.0,0.0,0.0,0.0,0.0,0.123,1.113,69.0,0.068,0.923,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.379,27.6
Aaron Gordon,0.041,0.6,31.200000000000003,0.174,1.079,124.80000000000001,0.051,1.0,39.0,0.07,1.0,54.599999999999994,0.043,0.71,31.200000000000003,0.247,0.85,179.39999999999998,0.025,0.667,15.600000000000001,0.122,1.292,85.80000000000001,0.0,0.0,0.0,0.146,1.292,109.19999999999999,0.073,0.642,54.599999999999994
Al Horford,0.033,0.725,41.0,0.1,1.246,123.0,0.0,0.0,0.0,0.247,1.13,303.40000000000003,0.139,0.888,172.20000000000002,0.231,0.929,278.8,0.0,0.0,0.0,0.107,1.185,131.20000000000002,0.035,0.884,41.0,0.055,1.284,65.60000000000001,0.047,0.491,57.4
Al Jefferson,0.0,0.0,0.0,0.019,1.364,9.4,0.0,0.0,0.0,0.169,1.081,98.7,0.518,0.882,305.5,0.048,1.0,28.2,0.0,0.0,0.0,0.138,1.16,79.89999999999999,0.0,0.0,0.0,0.058,0.824,32.9,0.026,0.4,14.1
Al-Farouq Aminu,0.038,0.324,32.800000000000004,0.179,0.894,164.0,0.085,0.684,73.8,0.04,1.0,32.800000000000004,0.021,0.421,16.400000000000002,0.374,1.027,336.2,0.06,0.889,57.4,0.051,1.413,49.199999999999996,0.05,0.867,41.0,0.058,1.135,49.199999999999996,0.044,0.675,41.0
Alan Anderson,0.167,0.818,10.4,0.182,1.0,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,1.333,23.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,0.117,0.769,52.699999999999996,0.155,1.087,68.2,0.315,0.821,139.5,0.0,0.0,0.0,0.0,0.0,0.0,0.214,1.095,96.10000000000001,0.077,0.882,34.1,0.036,1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.9,18.599999999999998
Alex Len,0.025,0.273,23.4,0.045,0.897,39.0,0.0,0.0,0.0,0.113,0.869,101.4,0.296,0.686,257.4,0.09,0.671,78.0,0.0,0.0,0.0,0.197,1.163,171.60000000000002,0.018,0.75,15.600000000000001,0.127,0.946,109.19999999999999,0.084,0.315,70.2
Alex Stepheson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,15.2,0.0,0.0,0.0
Alexis Ajinca,0.0,0.0,0.0,0.043,1.0,17.7,0.0,0.0,0.0,0.275,0.945,106.2,0.096,0.684,35.4,0.151,0.75,59.0,0.0,0.0,0.0,0.171,1.088,70.8,0.045,1.0,17.7,0.108,1.116,41.3,0.086,0.353,35.4
