PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Aaron Gordon,0.09,0.823,98.6,0.201,0.963,214.60000000000002,0.094,0.72,98.6,0.053,1.25,58.0,0.09,0.906,98.6,0.213,0.991,226.2,0.047,0.8,52.2,0.058,1.387,63.800000000000004,0.067,0.944,69.6,0.05,1.226,52.2,0.038,0.537,40.599999999999994
Aaron Harrison,0.0,0.0,0.0,0.15,0.917,11.700000000000001,0.175,0.5,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.727,33.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,0.0,0.0,0.0,0.161,0.813,33.599999999999994,0.151,0.633,28.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.658,76.80000000000001,0.05,0.8,9.600000000000001,0.0,0.0,0.0,0.07,1.071,14.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,0.035,1.121,36.0,0.08,0.947,72.0,0.026,0.875,21.599999999999998,0.205,1.203,194.4,0.265,0.823,252.0,0.183,1.25,172.79999999999998,0.0,0.0,0.0,0.062,1.19,57.6,0.021,0.65,21.599999999999998,0.042,1.0,36.0,0.071,0.254,64.8
Al Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,1.071,57.6,0.408,1.092,97.2,0.05,0.833,10.799999999999999,0.0,0.0,0.0,0.129,1.29,32.4,0.0,0.0,0.0,0.092,0.955,21.599999999999998,0.0,0.0,0.0
Al-Farouq Aminu,0.024,0.588,13.8,0.132,1.011,89.7,0.016,0.273,13.8,0.126,1.045,89.7,0.0,0.0,0.0,0.473,0.948,331.2,0.023,0.875,13.8,0.055,1.0,41.4,0.014,0.7,6.9,0.073,0.98,48.3,0.052,0.583,34.5
Alan Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.455,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,0.113,0.85,57.6,0.166,1.045,89.6,0.236,0.768,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.993,134.4,0.087,0.913,44.8,0.047,1.36,25.6,0.042,0.773,19.2,0.0,0.0,0.0,0.038,0.8,19.2
Alec Peters,0.0,0.0,0.0,0.171,0.929,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.031,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,1.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Abrines,0.03,0.3,7.5,0.159,1.396,52.5,0.066,0.591,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.491,1.085,165.0,0.033,1.0,7.5,0.0,0.0,0.0,0.09,1.0,30.0,0.036,0.917,15.0,0.048,0.688,15.0
Alex Caruso,0.0,0.0,0.0,0.195,0.97,33.300000000000004,0.302,0.784,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.786,29.6,0.0,0.0,0.0,0.083,1.429,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.471,18.5
