PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Aaron Gordon,1318.1999999999998,0.785,78.0,1.043,187.2,0.766,156.0,0.912,31.200000000000003,0.838,171.60000000000002,1.004,265.2,1.011,93.6,1.378,93.6,0.878,93.6,1.163,93.6,0.481,54.599999999999994
Aaron Holiday,310.0,0.846,15.0,1.033,60.0,0.798,105.0,0.0,0.0,0.0,0.0,1.052,75.0,0.806,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,20.0
Abdel Nader,216.0,1.333,12.0,1.086,60.0,0.773,24.0,0.0,0.0,0.0,0.0,0.876,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,850.0000000000001,1.208,27.200000000000003,1.0,74.80000000000001,0.0,0.0,1.154,272.0,0.993,142.8,1.086,149.60000000000002,0.0,0.0,1.359,74.80000000000001,0.938,13.600000000000001,1.125,47.599999999999994,0.347,47.599999999999994
Al-Farouq Aminu,720.9000000000001,1.04,24.3,1.184,113.39999999999999,0.563,16.2,1.346,24.3,0.0,0.0,0.945,348.3,0.818,8.1,1.184,72.9,0.579,16.2,1.237,56.699999999999996,0.75,40.5
Alec Burks,424.99999999999994,0.837,47.599999999999994,0.807,57.8,0.69,115.6,0.0,0.0,0.909,10.2,1.237,81.6,1.133,30.6,1.318,20.4,0.882,17.0,0.947,20.4,0.8,23.799999999999997
Alex Abrines,164.29999999999998,0.0,0.0,0.742,31.0,1.214,15.5,0.6,9.299999999999999,0.0,0.0,1.067,74.39999999999999,1.333,15.5,0.0,0.0,0.85,18.599999999999998,0.0,0.0,0.0,0.0
Alex Caruso,230.0,1.154,12.5,1.139,35.0,0.824,102.49999999999999,0.0,0.0,0.0,0.0,1.0,35.0,1.1,10.0,1.313,15.0,0.0,0.0,0.0,0.0,0.429,20.0
Alex Len,813.1999999999999,0.5,15.200000000000001,1.239,68.4,0.0,0.0,1.093,159.6,1.1,91.2,1.057,174.79999999999998,0.0,0.0,1.128,114.0,0.0,0.0,0.908,121.60000000000001,0.358,68.4
Alex Poythress,105.0,0.0,0.0,1.353,16.8,0.0,0.0,1.316,18.900000000000002,0.0,0.0,0.871,31.5,0.0,0.0,1.273,10.5,0.0,0.0,1.0,16.8,0.091,10.5
Alfonzo McKinnie,302.40000000000003,0.0,0.0,1.175,57.6,0.0,0.0,0.0,0.0,0.0,0.0,1.048,122.39999999999999,0.2,7.2,1.333,50.4,0.0,0.0,0.977,43.199999999999996,0.45,21.599999999999998
Allen Crabbe,408.5,0.0,0.0,1.161,55.9,0.571,12.9,0.0,0.0,0.0,0.0,0.908,150.5,1.132,38.7,0.0,0.0,0.877,129.0,0.0,0.0,0.739,21.5
