PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Aaron Brooks,370.5,0.762,39.0,0.718,39.0,0.852,169.0,0.0,0.0,0.0,0.0,1.014,71.5,0.737,19.5,0.0,0.0,1.143,13.0,0.0,0.0,0.429,19.5
Aaron Gordon,1048.0,1.155,72.0,1.029,208.0,0.75,112.0,1.17,48.0,0.795,80.0,0.785,232.0,0.784,48.0,1.747,80.0,0.75,40.0,1.202,88.0,0.659,40.0
Al Horford,958.8000000000001,1.128,40.8,1.125,47.599999999999994,0.0,0.0,1.025,238.0,0.934,272.0,1.028,176.8,0.0,0.0,1.138,68.0,0.882,34.0,1.0,34.0,0.52,47.599999999999994
Al Jefferson,547.8,0.6,13.200000000000001,1.1,13.200000000000001,0.0,0.0,0.975,118.8,0.984,250.79999999999998,0.8,13.200000000000001,0.0,0.0,1.182,66.0,0.0,0.0,1.059,52.800000000000004,0.476,19.8
Al-Farouq Aminu,610.0,0.8,30.5,0.828,85.39999999999999,1.357,12.200000000000001,0.783,48.800000000000004,0.9,12.200000000000001,0.88,280.59999999999997,0.353,18.3,1.143,48.800000000000004,0.0,0.0,0.976,42.699999999999996,0.273,30.5
Alan Anderson,78.0,0.833,18.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,352.5,0.0,0.0,1.5,32.9,0.0,0.0,1.083,84.60000000000001,0.8,61.1,0.0,0.0,0.0,0.0,0.973,75.2,0.0,0.0,1.078,65.8,0.333,32.9
Alec Burks,310.80000000000007,0.615,25.2,0.938,46.2,0.947,92.4,0.0,0.0,0.0,0.0,0.861,71.39999999999999,1.045,21.0,0.818,12.6,1.059,16.8,0.545,12.6,1.0,12.6
Alex Abrines,374.0,0.0,0.0,1.385,68.0,0.72,27.200000000000003,0.0,0.0,0.0,0.0,1.139,170.0,0.462,27.200000000000003,0.0,0.0,0.787,47.599999999999994,0.5,6.800000000000001,0.63,27.200000000000003
Alex Len,654.5,0.8,15.4,1.133,46.199999999999996,0.0,0.0,0.95,123.2,0.688,130.9,0.684,38.5,0.0,0.0,1.224,115.5,0.0,0.0,1.267,107.8,0.359,77.0
Alex Poythress,36.0,0.0,0.0,0.667,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,222.3,0.0,0.0,0.813,15.600000000000001,0.0,0.0,1.069,58.5,0.417,11.7,0.8,23.4,0.0,0.0,1.167,66.3,0.0,0.0,1.0,23.4,0.136,23.4
Allen Crabbe,758.4,0.75,15.8,1.278,126.4,0.794,31.6,1.308,15.8,0.0,0.0,1.228,268.59999999999997,0.89,71.10000000000001,1.41,39.5,0.958,165.9,0.0,0.0,0.571,23.7
Amir Johnson,496.0,0.769,16.0,1.065,48.0,0.0,0.0,1.073,80.0,0.818,32.0,1.143,64.0,0.0,0.0,1.376,144.0,0.0,0.0,1.161,64.0,0.176,48.0
Andre Drummond,1215.0,0.581,40.5,1.204,97.2,0.0,0.0,1.061,145.8,0.734,332.09999999999997,0.214,16.2,0.0,0.0,1.215,186.29999999999998,0.0,0.0,1.018,283.5,0.373,113.39999999999999
Andre Iguodala,516.8,0.742,30.400000000000002,1.211,129.2,0.783,22.8,0.0,0.0,0.933,15.200000000000001,1.183,167.20000000000002,0.917,15.200000000000001,1.492,60.800000000000004,0.706,15.200000000000001,1.333,15.200000000000001,0.667,45.6
Andre Roberson,560.9,0.0,0.0,1.102,126.4,0.3,23.7,1.455,7.9,0.0,0.0,0.754,181.7,0.909,23.7,1.284,102.7,0.0,0.0,0.889,55.3,0.415,39.5
Andrew Bogut,127.4,0.0,0.0,0.0,0.0,0.0,0.0,1.067,15.6,0.833,13.0,0.0,0.0,0.0,0.0,0.923,26.0,0.0,0.0,0.828,28.6,0.116,44.199999999999996
Andrew Harrison,532.8,0.859,64.8,1.0,64.8,0.777,208.79999999999998,0.0,0.0,0.0,0.0,0.77,115.2,0.692,14.4,1.357,14.4,0.333,14.4,0.0,0.0,0.385,36.0
Andrew Wiggins,1984.3999999999999,0.744,196.79999999999998,1.304,213.20000000000002,0.827,639.6,1.16,24.599999999999998,0.871,221.4,0.965,254.20000000000002,1.008,123.0,1.424,90.2,0.966,90.2,1.323,65.60000000000001,0.791,65.60000000000001
Anthony Bennett,98.89999999999999,0.0,0.0,1.077,13.799999999999999,0.0,0.0,1.313,16.099999999999998,0.0,0.0,0.537,41.4,0.0,0.0,1.0,11.5,0.0,0.0,1.471,16.099999999999998,0.0,0.0
Anthony Brown,29.699999999999996,0.0,0.0,0.846,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.765,17.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,1980.0,0.874,187.5,1.207,187.5,0.737,22.5,1.101,487.5,0.902,307.5,0.927,247.5,1.489,45.0,1.426,127.5,0.894,142.5,1.336,127.5,0.768,97.5
Anthony Morrow,216.0,0.0,0.0,0.946,36.0,0.6,12.0,0.0,0.0,0.0,0.0,0.946,112.0,1.0,24.0,0.0,0.0,1.167,20.0,0.0,0.0,0.692,12.0
Anthony Tolliver,435.5,0.0,0.0,1.064,45.5,0.0,0.0,1.063,45.5,1.059,19.5,1.132,214.5,0.0,0.0,1.294,32.5,1.0,19.5,0.944,19.5,0.487,39.0
Archie Goodwin,67.2,0.0,0.0,1.25,15.600000000000001,1.0,27.599999999999998,0.0,0.0,0.0,0.0,0.958,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aron Baynes,367.5,0.0,0.0,1.348,22.5,0.0,0.0,1.156,90.0,0.83,45.0,0.286,15.0,0.0,0.0,1.218,75.0,0.0,0.0,0.928,82.5,0.366,37.5
Arron Afflalo,500.19999999999993,0.805,42.699999999999996,1.02,48.800000000000004,0.7,42.699999999999996,0.0,0.0,1.207,61.0,1.153,164.70000000000002,0.885,24.400000000000002,1.136,24.400000000000002,0.879,67.10000000000001,0.0,0.0,0.778,24.400000000000002
Austin Rivers,917.5999999999999,0.944,177.6,0.975,118.4,0.955,310.8,0.0,0.0,0.0,0.0,1.126,185.0,0.848,66.60000000000001,1.111,14.8,0.25,14.8,0.0,0.0,0.219,29.6
Avery Bradley,885.5,0.63,44.0,0.957,115.5,0.832,170.5,0.0,0.0,0.0,0.0,1.152,148.5,0.84,132.0,1.42,82.5,1.008,115.5,1.15,38.5,0.85,38.5
Ben McLemore,518.5,0.308,12.200000000000001,1.258,91.5,0.687,67.10000000000001,0.0,0.0,0.0,0.0,1.101,140.29999999999998,0.703,36.6,1.333,36.6,0.742,91.5,0.6,12.200000000000001,0.516,30.5
Beno Udrih,230.1,0.0,0.0,0.952,19.5,0.906,148.2,0.0,0.0,0.0,0.0,1.148,27.299999999999997,0.611,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.467,15.600000000000001
Bismack Biyombo,542.6999999999999,0.0,0.0,1.179,40.5,0.0,0.0,0.971,137.7,0.872,48.6,0.0,0.0,0.0,0.0,1.072,170.1,0.0,0.0,0.867,72.9,0.282,72.9
Blake Griffin,1287.1,0.914,140.29999999999998,1.257,183.0,1.043,91.5,0.99,189.1,0.927,244.0,0.936,201.29999999999998,0.0,0.0,1.388,79.3,0.5,36.6,1.254,67.10000000000001,0.544,54.9
Bobby Portis,428.8,0.462,12.8,1.283,44.8,0.0,0.0,0.721,64.0,0.85,38.4,1.076,160.0,0.0,0.0,1.121,32.0,0.0,0.0,1.365,51.2,0.423,25.6
Bojan Bogdanovic,756.2,0.868,77.0,1.083,143.0,0.894,121.00000000000001,0.0,0.0,1.0,11.0,1.006,170.5,1.281,66.0,1.148,55.0,1.114,78.0,1.467,16.5,1.529,18.2
Boris Diaw,416.1,0.81,21.9,1.115,29.200000000000003,0.68,21.9,0.553,43.8,0.816,73.0,0.836,153.3,0.0,0.0,0.963,29.200000000000003,0.0,0.0,1.056,14.600000000000001,0.185,29.200000000000003
Bradley Beal,1593.9,0.917,130.9,1.344,277.2,0.97,361.90000000000003,0.0,0.0,1.3,7.7,1.188,215.6,0.974,77.0,1.286,61.6,0.978,361.90000000000003,1.115,23.099999999999998,1.026,77.0
Brandan Wright,142.79999999999998,0.0,0.0,1.462,14.0,0.0,0.0,1.226,53.199999999999996,0.9,11.200000000000001,0.0,0.0,0.0,0.0,1.388,50.4,0.0,0.0,1.214,14.0,0.0,0.0
Brandon Bass,254.79999999999998,0.615,15.6,1.826,20.8,0.0,0.0,1.2,67.60000000000001,1.13,52.0,0.762,20.8,0.0,0.0,1.515,31.2,0.0,0.0,1.032,31.2,0.538,15.6
Brandon Ingram,900.6,0.788,134.29999999999998,0.823,126.4,0.591,189.6,0.0,0.0,0.935,63.2,0.929,197.5,0.913,47.4,1.116,39.5,1.238,23.7,1.214,31.6,0.5,47.4
Brandon Jennings,580.0000000000001,1.022,46.400000000000006,0.961,127.60000000000001,0.751,255.20000000000002,0.0,0.0,0.0,0.0,0.907,87.0,0.84,23.200000000000003,0.909,11.600000000000001,0.0,0.0,0.0,0.0,0.643,29.0
Brandon Knight,691.1999999999999,0.926,70.2,1.145,118.80000000000001,0.798,297.0,0.0,0.0,0.0,0.0,0.878,97.2,0.735,32.4,0.727,10.8,0.684,21.6,0.8,10.8,0.719,32.4
Brandon Rush,206.79999999999998,0.0,0.0,1.043,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919,122.2,0.1,9.4,0.0,0.0,1.75,14.1,0.0,0.0,0.077,14.1
Brian Roberts,143.50000000000003,0.316,20.5,0.933,16.400000000000002,0.758,61.5,0.0,0.0,0.0,0.0,1.364,32.800000000000004,1.083,12.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Briante Weber,37.7,0.0,0.0,0.6,10.4,0.647,16.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0
Brook Lopez,1500.0,0.889,90.0,1.253,97.5,0.0,0.0,1.076,247.5,0.968,405.0,1.019,315.0,1.167,22.5,1.319,90.0,0.769,67.5,1.167,90.0,0.514,75.0
Buddy Hield,496.7,0.857,35.0,0.9,131.1,1.0,75.0,0.0,0.0,0.0,0.0,1.125,159.6,1.033,28.5,1.167,12.5,1.059,35.0,0.0,0.0,1.105,20.0
C.J. Watson,316.2,0.95,18.599999999999998,1.039,74.39999999999999,0.662,68.2,0.0,0.0,0.0,0.0,0.971,68.2,0.944,18.599999999999998,1.0,18.599999999999998,0.583,24.8,0.0,0.0,0.565,24.8
CJ McCollum,1728.0,0.982,168.0,1.143,224.0,0.939,608.0,0.0,0.0,0.0,0.0,1.209,224.0,1.113,160.0,1.333,48.0,1.089,200.0,1.25,24.0,0.743,72.0
CJ Miles,699.1999999999999,0.0,0.0,1.231,114.0,0.846,22.8,0.917,22.8,0.0,0.0,1.345,235.6,0.882,53.199999999999996,1.429,15.200000000000001,0.882,182.4,1.684,22.8,0.586,30.400000000000002
Cameron Payne,134.0,0.545,12.0,0.474,20.0,0.618,68.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caris LeVert,478.79999999999995,0.923,39.9,1.213,108.3,0.876,96.89999999999999,0.0,0.0,0.0,0.0,0.953,148.20000000000002,0.938,34.199999999999996,1.071,11.4,0.6,22.8,0.0,0.0,0.588,17.099999999999998
Carmelo Anthony,1709.3999999999999,0.987,392.2,0.916,133.20000000000002,0.803,281.2,0.905,44.4,0.919,281.2,1.233,259.0,0.647,51.8,1.293,44.4,1.0,96.2,0.959,51.8,0.732,74.0
Chandler Parsons,251.59999999999997,0.5,17.0,1.323,30.6,0.583,47.599999999999994,0.0,0.0,0.941,17.0,0.807,88.4,0.313,17.0,0.0,0.0,0.8,23.799999999999997,0.0,0.0,0.4,10.2
Channing Frye,592.0,0.9,7.4,1.145,59.2,0.0,0.0,1.133,103.6,0.957,44.4,1.274,244.2,0.0,0.0,1.514,37.0,0.974,37.0,0.476,22.2,0.359,37.0
Chasson Randle,66.6,0.0,0.0,1.067,14.4,0.5,30.599999999999998,0.0,0.0,0.0,0.0,0.619,21.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheick Diallo,69.7,0.0,0.0,0.0,0.0,0.0,0.0,1.077,13.600000000000001,0.923,13.600000000000001,0.769,13.600000000000001,0.0,0.0,1.231,13.600000000000001,0.0,0.0,1.2,15.3,0.0,0.0
Chris Paul,1024.8,1.093,183.0,1.144,146.4,0.961,463.59999999999997,0.0,0.0,1.129,30.5,1.096,91.5,0.821,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.987,79.3
Clint Capela,715.0,0.375,13.0,1.131,97.5,0.0,0.0,1.142,201.5,1.042,26.0,0.0,0.0,0.0,0.0,1.385,221.0,0.0,0.0,1.067,104.0,0.442,52.0
Cody Zeller,576.6,1.0,12.4,1.5,49.6,0.0,0.0,1.051,192.20000000000002,1.1,12.4,0.618,55.800000000000004,0.0,0.0,1.32,124.0,0.933,12.4,1.315,55.800000000000004,0.424,62.0
Corey Brewer,236.39999999999998,0.0,0.0,1.157,50.400000000000006,1.0,11.600000000000001,0.0,0.0,0.0,0.0,0.818,110.19999999999999,0.857,23.200000000000003,1.286,29.0,0.0,0.0,0.0,0.0,1.364,12.0
Cory Joseph,832.0,1.058,72.0,1.099,104.0,0.801,376.0,0.0,0.0,0.0,0.0,0.89,184.0,0.647,16.0,0.0,0.0,1.3,24.0,1.0,16.0,0.675,40.0
Courtney Lee,808.5,1.048,61.6,1.279,138.6,0.835,123.2,0.0,0.0,0.0,0.0,0.97,238.70000000000002,0.937,77.0,1.435,23.099999999999998,0.958,92.39999999999999,1.0,23.099999999999998,0.935,30.8
Cristiano Felicio,290.40000000000003,0.0,0.0,1.375,26.400000000000002,0.0,0.0,1.123,79.2,0.538,13.200000000000001,0.778,26.400000000000002,0.0,0.0,1.348,46.199999999999996,0.0,0.0,1.165,79.2,0.4,19.8
D'Angelo Russell,1121.3999999999999,0.955,88.19999999999999,0.928,138.60000000000002,0.76,447.29999999999995,0.0,0.0,0.87,56.7,0.984,126.0,1.088,100.80000000000001,1.385,25.200000000000003,0.983,56.7,1.25,12.600000000000001,0.471,69.30000000000001
