PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Danny Green,663.6000000000001,0.5,15.8,0.978,134.29999999999998,0.552,31.6,0.0,0.0,0.0,0.0,0.954,284.40000000000003,0.485,31.6,1.25,31.6,0.797,71.10000000000001,1.1,23.7,0.333,39.5
Dante Cunningham,488.0,0.0,0.0,1.323,96.0,0.579,16.0,1.318,24.0,0.0,0.0,0.912,216.0,0.643,16.0,1.14,56.0,1.455,8.0,0.591,24.0,0.241,32.0
Darrell Arthur,574.0,0.286,14.0,1.063,49.0,0.0,0.0,0.925,119.0,0.957,49.0,1.011,175.0,0.0,0.0,0.941,70.0,1.6,14.0,0.911,42.0,0.222,42.0
Darren Collison,991.6,0.901,111.0,1.187,303.4,0.937,251.6,0.0,0.0,0.0,0.0,1.093,185.0,1.088,37.0,0.875,29.6,0.0,0.0,1.0,7.4,0.761,66.60000000000001
Darrun Hilliard,144.4,0.0,0.0,1.227,22.8,0.64,49.4,0.0,0.0,0.0,0.0,1.109,45.6,1.1,11.4,1.067,15.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0
David Lee,264.5,0.429,15.0,1.368,20.0,0.0,0.0,0.892,66.0,0.787,48.0,0.667,18.0,0.0,0.0,1.383,47.5,0.0,0.0,1.088,35.0,0.5,15.0
David West,538.1999999999999,0.684,15.600000000000001,0.897,39.0,0.0,0.0,0.896,109.19999999999999,1.078,117.0,1.051,101.4,0.0,0.0,1.185,78.0,1.727,7.800000000000001,1.485,31.200000000000003,0.256,39.0
DeAndre Jordan,877.8,0.0,0.0,1.194,69.3,0.0,0.0,1.403,184.79999999999998,0.781,61.6,0.0,0.0,0.0,0.0,1.481,184.79999999999998,0.0,0.0,0.961,154.0,0.659,223.29999999999998
DeMar DeRozan,1840.8,0.919,296.4,1.221,148.2,0.992,592.8,0.0,0.0,0.852,156.0,0.995,195.0,0.987,78.0,1.552,31.200000000000003,0.839,249.60000000000002,1.091,23.4,1.058,70.2
DeMarcus Cousins,1865.5,0.684,208.0,1.034,234.0,1.0,19.5,0.982,279.5,0.959,364.0,0.909,305.5,0.766,45.5,1.214,97.5,0.745,45.5,1.115,130.0,0.689,136.5
DeMarre Carroll,317.2,0.632,18.2,1.014,70.2,0.667,31.2,0.0,0.0,0.0,0.0,1.105,104.0,0.636,10.4,0.846,26.0,0.462,26.0,1.0,13.0,0.556,18.2
