PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Aaron Gordon,1073.0,0.823,98.6,0.963,214.60000000000002,0.72,98.6,1.25,58.0,0.906,98.6,0.991,226.2,0.8,52.2,1.387,63.800000000000004,0.944,69.6,1.226,52.2,0.537,40.599999999999994
Aaron Harrison,59.400000000000006,0.0,0.0,0.917,11.700000000000001,0.5,14.4,0.0,0.0,0.0,0.0,0.727,33.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,163.2,0.0,0.0,0.813,33.599999999999994,0.633,28.799999999999997,0.0,0.0,0.0,0.0,0.658,76.80000000000001,0.8,9.600000000000001,0.0,0.0,1.071,14.399999999999999,0.0,0.0,0.0,0.0
Al Horford,928.8,1.121,36.0,0.947,72.0,0.875,21.599999999999998,1.203,194.4,0.823,252.0,1.25,172.79999999999998,0.0,0.0,1.19,57.6,0.65,21.599999999999998,1.0,36.0,0.254,64.8
Al Jefferson,219.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.071,57.6,1.092,97.2,0.833,10.799999999999999,0.0,0.0,1.29,32.4,0.0,0.0,0.955,21.599999999999998,0.0,0.0
Al-Farouq Aminu,683.0999999999999,0.588,13.8,1.011,89.7,0.273,13.8,1.045,89.7,0.0,0.0,0.948,331.2,0.875,13.8,1.0,41.4,0.7,6.9,0.98,48.3,0.583,34.5
Alan Williams,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,518.4000000000001,0.85,57.6,1.045,89.6,0.768,128.0,0.0,0.0,0.0,0.0,0.993,134.4,0.913,44.8,1.36,25.6,0.773,19.2,0.0,0.0,0.8,19.2
Alec Peters,56.0,0.0,0.0,0.929,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031,32.0,0.0,0.0,0.0,0.0,1.3,10.0,0.0,0.0,0.0,0.0
Alex Abrines,315.0,0.3,7.5,1.396,52.5,0.591,22.5,0.0,0.0,0.0,0.0,1.085,165.0,1.0,7.5,0.0,0.0,1.0,30.0,0.917,15.0,0.688,15.0
Alex Caruso,148.0,0.0,0.0,0.97,33.300000000000004,0.784,51.8,0.0,0.0,0.0,0.0,0.786,29.6,0.0,0.0,1.429,14.8,0.0,0.0,0.0,0.0,0.471,18.5
Alex Len,552.0,1.0,6.9,1.281,34.5,0.0,0.0,1.22,117.3,0.903,69.0,0.545,20.7,0.0,0.0,1.37,117.3,0.0,0.0,1.073,124.2,0.311,62.1
Allen Crabbe,952.5,1.069,30.0,1.028,142.5,0.641,67.5,0.0,0.0,0.0,0.0,1.221,292.5,0.763,142.5,1.0,22.5,1.084,225.0,0.0,0.0,0.75,30.0
Amir Johnson,347.8,0.0,0.0,0.969,29.6,0.0,0.0,1.079,37.0,0.478,22.2,1.023,44.4,0.0,0.0,1.242,96.2,0.0,0.0,1.063,66.60000000000001,0.308,51.8
Andre Drummond,1255.8,0.731,101.4,1.153,109.19999999999999,0.0,0.0,1.043,140.4,0.83,163.8,0.605,39.0,0.0,0.0,1.249,202.8,0.0,0.0,1.09,335.4,0.227,163.8
Andre Iguodala,422.4,0.609,25.6,1.072,108.8,1.0,25.6,0.0,0.0,0.579,19.2,0.697,108.8,1.0,25.6,1.39,38.4,1.333,19.2,1.0,19.2,0.344,32.0
Andre Roberson,198.90000000000003,0.0,0.0,1.071,42.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.651,42.900000000000006,0.0,0.0,1.242,62.400000000000006,0.0,0.0,0.938,31.200000000000003,0.35,19.5
Andrew Harrison,565.6000000000001,0.767,61.60000000000001,1.175,78.39999999999999,0.927,246.40000000000003,0.0,0.0,0.0,0.0,0.92,112.0,1.12,22.400000000000002,1.3,11.200000000000001,0.0,0.0,0.0,0.0,0.265,33.6
Andrew White III,57.0,0.0,0.0,1.143,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.86,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,1566.2,0.667,139.4,1.044,205.0,0.801,369.0,0.958,24.599999999999998,0.949,155.79999999999998,0.9,328.0,0.803,123.0,1.521,90.2,0.867,32.800000000000004,1.333,49.199999999999996,0.736,49.199999999999996
Anthony Davis,1890.0,0.81,142.5,1.253,255.0,1.148,30.0,1.177,262.5,0.969,352.5,0.957,232.5,0.857,30.0,1.577,217.5,0.802,105.0,1.453,142.5,0.867,120.0
Anthony Tolliver,576.7,0.0,0.0,1.38,102.7,0.0,0.0,1.093,39.5,0.0,0.0,1.307,292.3,1.188,15.8,1.242,31.6,0.892,39.5,1.235,15.8,0.282,39.5
Antonio Blakeney,157.70000000000002,0.81,20.900000000000002,1.2,45.6,0.767,30.400000000000002,0.0,0.0,0.0,0.0,0.744,39.9,0.952,20.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aron Baynes,558.9,0.0,0.0,0.857,16.2,0.0,0.0,1.026,113.39999999999999,0.759,81.0,0.792,72.9,0.0,0.0,1.033,121.5,0.0,0.0,0.988,81.0,0.333,72.9
Arron Afflalo,174.89999999999998,0.0,0.0,1.214,26.5,0.0,10.600000000000001,0.0,0.0,0.72,26.5,0.987,79.5,0.4,10.600000000000001,0.0,0.0,1.1,21.200000000000003,0.0,0.0,0.0,0.0
Austin Rivers,976.0,1.06,213.5,0.976,79.3,0.838,390.40000000000003,0.0,0.0,0.0,0.0,0.987,152.5,0.763,61.0,1.379,30.5,0.864,24.400000000000002,0.0,0.0,0.542,24.400000000000002
Avery Bradley,700.0,0.65,20.0,1.065,108.0,0.667,56.0,0.0,0.0,0.0,0.0,1.159,112.0,0.704,224.0,1.06,52.0,0.775,80.0,0.867,16.0,0.636,32.0
Bam Adebayo,483.0,1.0,13.8,1.186,41.4,0.0,0.0,1.01,103.5,0.655,55.2,1.037,27.6,0.0,0.0,1.2,124.2,0.0,0.0,0.986,75.9,0.372,41.4
Ben McLemore,453.6,0.0,0.0,1.051,78.39999999999999,0.564,56.0,0.0,0.0,0.0,0.0,1.051,134.4,0.971,33.6,1.25,39.199999999999996,0.65,61.60000000000001,1.188,16.8,0.441,33.6
Ben Simmons,1425.6,0.876,129.6,1.007,275.4,0.81,429.3,0.0,0.0,0.687,129.6,0.652,72.9,0.8,32.4,1.484,129.6,0.667,8.1,1.208,72.9,0.571,145.8
Bismack Biyombo,508.40000000000003,0.0,0.0,1.269,24.599999999999998,0.0,0.0,0.877,123.0,0.522,24.599999999999998,0.615,16.400000000000002,0.0,0.0,1.175,172.20000000000002,0.0,0.0,0.965,82.0,0.354,65.60000000000001
