PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Aaron Gordon,196.0,0.8,9.799999999999999,1.111,26.599999999999998,0.676,33.6,0.0,0.0,0.818,22.400000000000002,0.781,32.199999999999996,0.533,15.400000000000002,1.941,16.8,0.273,11.200000000000001,1.429,14.0,0.643,14.0
Aaron Holiday,148.39999999999998,0.9,9.799999999999999,0.538,26.599999999999998,0.844,64.39999999999999,0.0,0.0,0.0,0.0,1.27,36.4,1.0,11.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,220.79999999999998,0.0,0.0,1.237,38.4,0.0,0.0,1.0,36.8,0.85,60.8,0.9,40.0,0.0,0.0,1.412,17.6,0.0,0.0,1.364,11.2,0.188,16.0
Al-Farouq Aminu,83.19999999999999,0.0,0.0,0.6,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.486,36.8,0.0,0.0,1.154,12.8,0.0,0.0,0.692,12.8,0.0,0.0
Alec Burks,189.0,0.364,10.5,1.389,36.0,0.844,76.5,0.0,0.0,0.0,0.0,0.931,28.5,1.455,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.625,15.0
Alex Caruso,79.5,0.0,0.0,1.077,13.5,0.364,22.5,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,1.6,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.811,37.400000000000006,0.0,0.0,0.65,20.4,0.0,0.0,1.263,18.700000000000003,0.0,0.0,0.882,17.0,0.273,17.0
Alfonzo McKinnie,15.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.133,15.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allonzo Trier,38.400000000000006,0.0,0.0,1.231,12.8,1.357,14.4,0.0,0.0,0.0,0.0,0.818,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,331.5,1.0,13.600000000000001,0.886,35.7,0.0,0.0,0.95,59.5,0.978,45.900000000000006,0.556,27.200000000000003,0.0,0.0,1.192,52.7,0.0,0.0,1.111,62.900000000000006,0.219,34.0
Andrew Wiggins,333.19999999999993,1.079,37.800000000000004,0.938,32.199999999999996,0.855,131.6,0.0,0.0,1.375,15.400000000000002,0.977,43.4,1.345,29.400000000000002,1.429,21.0,0.957,22.400000000000002,0.0,0.0,0.0,0.0
Anfernee Simons,174.60000000000002,1.0,18.0,0.926,27.0,0.973,75.60000000000001,0.0,0.0,0.0,0.0,1.023,43.199999999999996,0.8,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,380.8,0.714,35.2,1.15,40.0,0.0,0.0,1.218,54.4,0.914,92.8,1.133,44.8,0.0,0.0,1.341,41.6,0.583,12.8,0.963,27.2,0.962,32.0
Anthony Tolliver,54.60000000000001,0.0,0.0,0.909,11.200000000000001,0.0,0.0,1.167,12.6,0.0,0.0,0.677,30.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aron Baynes,136.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.561,40.8,1.5,14.399999999999999,1.0,30.0,0.0,0.0,0.867,15.600000000000001,0.0,0.0,1.25,12.0,0.6,24.0
